date,time,lat,lon,depth,ML
1989/1/19,43:49.7,22.4472,121.769,10.93,5.22
1989/3/26,56:21.9,21.7517,121.1345,28.04,5.06
1989/5/15,05:35.5,24.0267,122.3982,7.96,5.42
1989/6/8,46:24.2,23.4572,121.3397,1.05,5
1989/7/4,14:06.8,23.8983,122.462,16.54,5.03
1989/8/3,31:20.3,23.0778,122.0098,5.61,6.44
1989/8/3,36:49.1,23.0682,121.9975,1.31,5.56
1989/8/3,40:18.6,23.1098,121.9575,1.36,5.29
1989/8/3,45:06.4,23.0782,122.0565,0.44,5.56
1989/8/21,12:40.1,23.9628,122.4365,8.12,6.16
1989/9/4,36:49.5,21.8107,119.9358,65.63,5
1990/1/15,42:30.1,24.3597,121.932,20.13,5.23
1990/7/16,12:23.6,24.1992,121.8308,0.81,5.05
1990/7/16,14:51.9,24.184,121.804,1.39,5.15
1990/8/21,00:58.5,22.5978,121.9698,20.7,5.01
1990/9/11,09:04.0,22.8137,120.7998,24.16,5.35
1990/11/11,59:06.4,24.0952,121.7355,34.33,5.36
1990/12/13,28:05.8,23.8102,121.6375,1.71,5.05
1990/12/13,19:01.0,23.7382,121.5572,1.95,5.17
1990/12/13,28:11.2,23.8302,121.6083,1.62,5.03
1990/12/13,50:19.2,23.7655,121.6273,1.26,6
1990/12/13,01:48.4,23.8795,121.5482,2.82,5.6
1990/12/14,55:31.2,23.8438,121.7152,1.04,5.09
1990/12/14,37:39.0,23.5953,121.6822,11.07,5.08
1990/12/15,01:33.3,23.7362,121.5902,1.47,5.05
1990/12/19,20:26.0,23.671,121.5893,5.2,5.23
1990/12/19,08:14.4,23.6622,121.3662,0.04,5.1
1990/12/25,21:54.0,23.7692,121.571,2.04,5.01
1991/1/18,36:27.0,23.6815,121.2655,0.79,5.36
1991/1/18,49:56.5,23.6892,121.2912,0.85,5
1991/1/19,24:11.5,23.6948,121.5805,5.58,5
1991/1/20,54:34.9,23.8632,121.55,24.16,5.05
1991/1/21,02:39.4,23.6395,121.359,2.85,5.1
1991/3/2,56:38.4,24.0437,121.7502,25.83,5
1991/3/2,13:18.7,23.888,121.7407,0.24,5.21
1991/3/7,40:25.3,24.682,122.3898,95.66,5.06
1991/3/12,04:06.1,23.2457,120.0745,12.26,5.67
1991/3/16,32:27.5,24.7925,121.727,90.01,5.34
1991/3/17,37:05.7,23.1787,120.011,9.68,5.16
1991/3/26,58:23.7,21.6742,121.661,12.14,5.3
1991/3/26,19:30.4,21.7025,121.6747,16.6,5.2
1991/4/2,21:41.6,22.759,121.3677,15.6,5.07
1991/6/3,03:10.5,23.8232,121.8733,20.48,5.07
1991/6/24,46:22.4,24.2217,122.2375,8.68,5.12
1991/9/30,44:43.7,22.605,121.4267,18.81,5.89
1991/10/12,08:40.5,22.869,121.4355,23.34,5.33
1991/10/18,52:09.1,23.7773,121.7543,11.52,5.02
1991/10/23,37:22.8,21.983,121.9877,1.13,5.09
1991/11/3,17:20.5,23.4617,121.5973,35.27,5.11
1991/11/25,29:11.3,23.1593,121.6828,33.62,5
1991/12/2,14:15.7,23.1805,121.6972,35.03,5.48
1991/12/5,48:23.1,22.6777,121.3992,22.47,5.24
1991/12/8,23:32.2,23.9053,122.4967,16.97,5.14
1991/12/10,30:16.1,23.909,122.4428,6.12,5.04
1992/2/18,16:14.0,25.0662,119.6062,62.6,5.16
1992/3/21,11:59.3,23.9985,121.609,26.76,5.05
1992/4/19,32:20.8,23.8405,121.5745,8.07,5.55
1992/4/20,16:38.8,24.4508,120.7143,8.8,5.14
1992/4/21,38:17.5,21.901,121.8997,191.06,5.04
1992/4/24,49:13.3,23.8105,121.6097,0.77,5.21
1992/4/29,43:28.7,24.9003,121.9912,121.13,5.04
1992/5/28,19:35.4,23.1322,121.3508,13.68,5.42
1992/6/8,56:40.1,24.7605,122.1623,80.78,5.14
1992/7/7,45:36.3,24.4078,121.7292,27.86,5.14
1992/7/24,26:55.8,24.066,121.851,27.36,5.04
1992/8/6,29:15.1,24.66,122.4568,0.88,5.32
1992/8/14,26:23.6,24.0328,121.6273,26.07,5.18
1992/9/1,41:14.8,23.6997,121.7747,50.96,5.64
1992/9/18,07:00.6,23.9118,122.4197,10.21,5.17
1992/10/3,56:40.6,22.6295,121.412,25.21,5.65
1992/12/28,23:25.3,23.8638,121.8025,15.89,5.28
1993/1/23,59:26.3,24.0807,121.7428,28.5,5.4
1993/2/19,36:00.4,23.7622,121.8078,42.05,5.01
1993/2/24,30:44.9,22.3477,122.269,16.87,5.21
1993/3/5,57:04.7,22.2437,121.0525,11.23,5.46
1993/3/27,45:47.8,24.6757,122.2647,77.3,5.15
1993/6/24,59:57.9,24.5435,121.7693,65.01,5.18
1993/7/4,08:06.8,24.8825,122.1052,118.01,5.69
1993/8/18,40:41.0,24.7133,122.0917,66.34,5.35
1993/11/12,16:33.4,22.0823,121.8418,184.65,5.88
1993/11/22,04:17.9,23.8882,122.4462,5.83,5.06
1993/12/3,01:39.6,24.2845,121.8242,64.69,5.35
1993/12/6,00:17.4,21.8448,120.9948,20.79,5.29
1993/12/15,49:43.1,23.2133,120.5237,12.5,5.7
1994/1/20,50:15.6,24.0648,121.8523,49.45,5.58
1994/1/21,06:20.4,22.2902,121.5508,35,5.61
1994/3/6,37:21.0,24.8175,122.0198,97.5,5.49
1994/3/17,28:00.8,23.9598,122.4157,0.59,5.65
1994/3/28,11:15.7,22.9853,120.6868,14.37,5.41
1994/4/6,12:11.1,23.5325,120.4212,13.44,5.03
1994/4/18,36:41.7,24.8005,122.0288,94.9,5.08
1994/4/30,14:17.1,24.3537,122.0735,3.9,5.04
1994/5/26,31:46.7,23.7427,122.4648,9.78,5
1994/6/5,09:30.1,24.4623,121.8377,5.3,6.5
1994/6/5,59:38.5,24.422,121.8177,1.04,5.02
1994/6/6,57:24.5,24.4308,121.9485,3.45,5.06
1994/6/9,17:10.4,23.3028,121.5463,43.15,5.08
1994/6/17,18:18.2,23.8892,121.5715,21.17,5.01
1994/9/15,07:06.6,23.6215,122.2043,15.76,5.31
1994/9/20,47:59.4,23.1423,120.9823,11.09,5.01
1994/10/5,13:24.5,23.1563,121.7203,31.28,5.83
1994/10/9,41:55.5,24.2417,122.1842,9.42,5.12
1994/10/9,36:09.6,24.9595,122.0523,106.5,5.1
1994/10/12,08:22.2,24.8097,122.019,73.68,5.67
1994/10/14,16:33.6,22.5178,121.5725,124.45,5.65
1994/10/28,51:10.5,24.6355,122.2695,2,5.66
1994/11/14,25:24.2,23.9582,122.4278,11.89,5.08
1994/11/26,17:35.6,24.637,122.2248,3.77,5.54
